날짜,종가,오픈,고가,저가,거래량,변동 %
2021-12-06,3117.31 ,"3,087.98","3,127.52","3,084.79",-,1.00%
2021-12-03,3086.44 ,"3,110.42","3,129.75","3,067.56",-,-0.79%
2021-12-02,3111.17 ,"3,086.12","3,119.13","3,075.45",-,0.75%
2021-12-01,3087.98 ,"3,106.80","3,159.63","3,084.73",-,-0.45%
2021-11-30,3101.80 ,"3,157.49","3,161.01","3,101.80",-,-1.71%
2021-11-29,3155.73 ,"3,130.77","3,164.81","3,125.58",-,0.76%
2021-11-26,3131.98 ,"3,202.08","3,202.55","3,127.03",-,-2.20%
2021-11-25,3202.44 ,"3,198.75","3,203.78","3,198.51",-,0.14%
2021-11-24,3198.12 ,"3,196.75","3,199.47","3,173.04",-,0.04%
2021-11-23,3196.88 ,"3,200.47","3,206.05","3,177.58",-,-0.14%
2021-11-22,3201.49 ,"3,215.98","3,234.43","3,200.07",-,-0.57%
2021-11-19,3219.90 ,"3,227.67","3,230.41","3,217.16",-,-0.20%
2021-11-18,3226.37 ,"3,222.27","3,230.34","3,211.01",-,0.17%
2021-11-17,3221.03 ,"3,230.04","3,230.25","3,220.06",-,-0.28%
2021-11-16,3230.01 ,"3,230.04","3,230.04","3,230.01",-,0.11%
2021-11-15,3226.45 ,"3,224.28","3,233.09","3,220.79",-,0.08%
2021-11-12,3223.82 ,"3,200.76","3,226.76","3,200.70",-,0.68%
2021-11-11,3201.99 ,"3,198.58","3,209.24","3,196.29",-,0.01%
2021-11-10,3201.57 ,"3,228.62","3,229.18","3,191.78",-,-0.81%
2021-11-09,3227.80 ,"3,237.60","3,241.46","3,220.64",-,-0.30%
2021-11-08,3237.44 ,"3,237.60","3,237.62","3,237.31",-,0.16%
2021-11-05,3232.26 ,"3,224.63","3,242.90","3,222.15",-,0.24%
2021-11-04,3224.63 ,"3,215.69","3,227.17","3,214.26",-,0.38%
2021-11-03,3212.35 ,"3,195.60","3,215.85","3,190.33",-,0.52%
2021-11-02,3195.67 ,"3,190.79","3,198.45","3,187.44",-,0.16%
2021-11-01,3190.54 ,"3,175.13","3,191.23","3,174.69",-,0.50%
2021-10-29,3174.73 ,"3,178.94","3,179.36","3,159.24",-,-0.15%
2021-10-28,3179.44 ,"3,152.20","3,179.69","3,148.81",-,0.87%
